id	persName	QID	dbl_id
dbl_024_person_0	Jeremy Romano	Q118594531	
dbl_024_person_1	Ken Marable	Q118127474	
dbl_024_person_2	Ken Marable	Q118127474	
dbl_024_person_3	Odessa Marable	Q118594621	
dbl_024_person_4	Joseph Marable	Q118594731	
dbl_024_person_5	Steve Herzfeld	Q118594829	
dbl_024_person_6	Robert Melnick	Q118594911	
dbl_024_person_7	Ronald Talley	Q114648278	
dbl_024_person_8	Wallace Ford	Q116869398	
dbl_024_person_9	Ken Marable	Q118127474	
dbl_024_person_10	Ted Thompson	Q118595106	
dbl_024_person_11	Ted Thompson	Q118595106	
dbl_024_person_12	Carl [‘74]		
dbl_024_person_13	Matt [74]		
dbl_024_person_14	Professor King		
dbl_024_person_15	Mrs. King		
dbl_024_person_16	Samuel Wells Smith	Q118595266	
dbl_024_person_17	Nels Armstrong	Q115119072	
dbl_024_person_18	Professor King		
dbl_024_person_19	Samuel Wells Smith	Q118595266	
dbl_024_person_20	Samuel Wells Smith	Q118595266	
dbl_024_person_21	Samuel Wells Smith	Q118595266	
dbl_024_person_22	John Sloan Dickey	Q3182471	
dbl_024_person_23	John George Kemeny	Q28900	
dbl_024_person_24	John George Kemeny	Q28900	
dbl_024_person_25	John Sloan Dickey	Q3182471	
dbl_024_person_26	John George Kemeny	Q28900	
dbl_024_person_27	Ben Bridges	Q115119131	
dbl_024_person_28	Ben Bridges	Q115119131	
dbl_024_person_29	Tommy Durgan	Q118595779	
dbl_024_person_30	Gary Gibson	Q118595970	
dbl_024_person_31	Calvin		
dbl_024_person_32	John George Kemeny	Q28900	
dbl_024_person_33	John F. Kennedy	Q9696	
dbl_024_person_34	Ben Bridges	Q115119131	
dbl_024_person_35	Samuel Wells Smith	Q118595266	
dbl_024_person_36	Joan Marable	Q118127462	
dbl_024_person_37	Jones		
dbl_024_person_38	Joan Marable	Q118127462	
dbl_024_person_39	Joan Marable	Q118127462	
dbl_024_person_40	Joan Marable	Q118127462	
dbl_024_person_41	Eva McKend	Q118595625	
