id	name	QID	dbl_id	start time	end time	point in time
dbl_001_event_0	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dbl_001_event_1	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dbl_001_event_2	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_001_event_3	Civil Rights Movement					
dbl_001_event_4	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_001_event_5	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_001_event_6	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_001_event_7	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_001_event_8	The Civil Rights Movement					
dbl_001_event_9	Black Alumni Conference					
