id	orgName	QID	dbl_id
dbl_004_org_0	Dartmouth Black Lives	Q114647391	
dbl_004_org_1	Booker T. Washington Middle School	Q4943209	
dbl_004_org_2	Booker T. Washington Middle School	Q4943209	
dbl_004_org_3	Booker T. Washington Middle School	Q4943209	
dbl_004_org_4	Hampton Institute	Q23933851	
dbl_004_org_5	Hampton University	Q1797817	
dbl_004_org_6	Collis P. Huntington High School	Q5147481	
dbl_004_org_7	National Honor Society	Q10335734	
dbl_004_org_8	National Honor Society	Q10335734	
dbl_004_org_9	Dartmouth College	Q49116	
dbl_004_org_10	Dartmouth College	Q49116	
dbl_004_org_11	Dartmouth College	Q49116	
dbl_004_org_12	Dartmouth College	Q49116	
dbl_004_org_13	Hampton University	Q1797817	
dbl_004_org_14	Dartmouth College	Q49116	
dbl_004_org_15	Duke University	Q168751	
dbl_004_org_16	Dartmouth College	Q49116	
dbl_004_org_17	Dartmouth College	Q49116	
dbl_004_org_18	Virginia	Q1370	
dbl_004_org_19	Dartmouth College	Q49116	
dbl_004_org_20	Dartmouth Alumni Relations	Q114879823	
dbl_004_org_21	Dartmouth College	Q49116	
dbl_004_org_22	Dartmouth College	Q49116	
dbl_004_org_23	Dartmouth College	Q49116	
dbl_004_org_24	Dartmouth College	Q49116	
dbl_004_org_25	University of Maryland Libraries Dean's Office	Q112041578	
dbl_004_org_26	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_27	Dartmouth College	Q49116	
dbl_004_org_28	Dartmouth College	Q49116	
dbl_004_org_29	Dartmouth College	Q49116	
dbl_004_org_30	Dartmouth College	Q49116	
dbl_004_org_31	Dartmouth College	Q49116	
dbl_004_org_32	Dartmouth College	Q49116	
dbl_004_org_33	Dartmouth College	Q49116	
dbl_004_org_34	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_35	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_36	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_37	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_38	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_39	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_40	Class of 1969	Q92752096	
dbl_004_org_41	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_42	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_43	Yale University	Q49112	
dbl_004_org_44	Yale University	Q49112	
dbl_004_org_45	Dartmouth College	Q49116	
dbl_004_org_46	NAACP	Q502044	
dbl_004_org_47	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_48	Dartmouth College	Q49116	
dbl_004_org_49	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_50	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_51	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_52	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_53	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_54	Black Panther Party	Q189150	
dbl_004_org_55	Dartmouth College	Q49116	
dbl_004_org_56	Dartmouth College	Q49116	
dbl_004_org_57	Dartmouth College	Q49116	
dbl_004_org_58	Dartmouth College	Q49116	
dbl_004_org_59	Dartmouth College	Q49116	
dbl_004_org_60	Dartmouth College	Q49116	
dbl_004_org_61	Dartmouth College	Q49116	
dbl_004_org_62	Dartmouth College Class of 1934	Q114992152	
dbl_004_org_63	Dartmouth College Class of 1971	Q114992181	
dbl_004_org_64	Dartmouth College	Q49116	
dbl_004_org_65	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_66	Dartmouth College Greek organizations	Q5225683	
dbl_004_org_67	Dartmouth College Greek organizations	Q5225683	
dbl_004_org_68	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_69	Dartmouth College Class of 1969	Q114992238	
dbl_004_org_70	Dartmouth College	Q49116	
dbl_004_org_71	Dartmouth College	Q49116	
dbl_004_org_72	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_73	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_74	Dartmouth College	Q49116	
dbl_004_org_75	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_76	Dartmouth College	Q49116	
dbl_004_org_77	Dartmouth College	Q49116	
dbl_004_org_78	Dartmouth College	Q49116	
dbl_004_org_79	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_80	Dartmouth College	Q49116	
dbl_004_org_81	British Rail Class 71	Q4970845	
dbl_004_org_82	Dartmouth College Class of 1972	Q114992245	
dbl_004_org_83	Dartmouth College Class of 1973	Q114992257	
dbl_004_org_84	Dartmouth College Class of 1973	Q114992257	
dbl_004_org_85	Dartmouth College Class of 1974	Q114992266	
dbl_004_org_86	Dartmouth College Class of 1975	Q114992271	
dbl_004_org_87	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_88	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_89	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_90	A Better Chance	Q25469497	
dbl_004_org_91	A Better Chance	Q25469497	
dbl_004_org_92	A Better Chance	Q25469497	
dbl_004_org_93	A Better Chance	Q25469497	
dbl_004_org_94	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_95	A Better Chance	Q25469497	
dbl_004_org_96	Dartmouth College Department of French and Italian	Q114997971	
dbl_004_org_97	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_98	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_99	Dartmouth College	Q49116	
dbl_004_org_100	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_101	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_102	Foundation Years	Q96327804	
dbl_004_org_103	Dartmouth College	Q49116	
dbl_004_org_104	Dartmouth College	Q49116	
dbl_004_org_105	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_106	Dartmouth College	Q49116	
dbl_004_org_107	Dartmouth College	Q49116	
dbl_004_org_108	Dartmouth College	Q49116	
dbl_004_org_109	Harvard University	Q13371	
dbl_004_org_110	Yale University	Q49112	
dbl_004_org_111	Dartmouth College	Q49116	
dbl_004_org_112	Dartmouth College	Q49116	
dbl_004_org_113	Dartmouth College	Q49116	
dbl_004_org_114	Afro-American Society at Dartmouth College	Q114879775	
dbl_004_org_115	Dartmouth College	Q49116	
dbl_004_org_116	University of Maryland Libraries Dean's Office	Q112041578	
dbl_004_org_117	counseling office at Dartmouth College	Q114998131	
dbl_004_org_118	University of Maryland Libraries Dean's Office	Q112041578	
dbl_004_org_119	William Jewett Tucker Foundation	Q105660312	
dbl_004_org_120	University of Maryland Libraries Dean's Office	Q112041578	
dbl_004_org_121	Dartmouth College	Q49116	
dbl_004_org_122	counseling office at Dartmouth College	Q114998131	
dbl_004_org_123	University of Maryland Libraries Dean's Office	Q112041578	
dbl_004_org_124	Nel's lunch program	Q114998091	
dbl_004_org_125	Dartmouth College	Q49116	
dbl_004_org_126	counseling office at Dartmouth College	Q114998131	
dbl_004_org_127	Dartmouth College	Q49116	
dbl_004_org_128	Massachusetts Institute of Technology	Q49108	
dbl_004_org_129	Nel's lunch program	Q114998091	
dbl_004_org_130	Case Western Reserve University	Q1047060	
