id	placeName	QID	dbl_id	coordinate location
dbl_009_place_0	El-Hajj Malik El-Shabazz Center	Q104931609		43.70678140394604,-72.2898819546128
dbl_009_place_1	Hanover	Q131908		43.7,-72.28333333333333
dbl_009_place_2	Atlanta	Q23556		33.756944444444,-84.390277777778
dbl_009_place_3	Columbus	Q239870		32.492222222222,-84.940277777778
dbl_009_place_4	United States of America	Q30		39.828175,-98.5795
dbl_009_place_5	Georgia	Q1428		33,-83.5
dbl_009_place_6	United States of America	Q30		39.828175,-98.5795
dbl_009_place_7	United States of America	Q30		39.828175,-98.5795
dbl_009_place_8	Columbus	Q239870		32.492222222222,-84.940277777778
dbl_009_place_9	United States of America	Q30		39.828175,-98.5795
dbl_009_place_10	United States of America	Q30		39.828175,-98.5795
dbl_009_place_11	New England	Q18389		44.205555555556,-70.306425
dbl_009_place_12	South Carolina	Q1456		34,-81
dbl_009_place_13	Cincinnati	Q43196		39.1,-84.5125
dbl_009_place_14	Chicago	Q1297		41.85003,-87.65005
dbl_009_place_15	Georgia	Q1428		33,-83.5
dbl_009_place_16	Columbus	Q239870		32.492222222222,-84.940277777778
dbl_009_place_17	Georgia	Q1428		33,-83.5
dbl_009_place_18	Cincinnati	Q43196		39.1,-84.5125
dbl_009_place_19	Cincinnati	Q43196		39.1,-84.5125
dbl_009_place_20	Chicago	Q1297		41.85003,-87.65005
dbl_009_place_21	New York City	Q60		40.7,-74
dbl_009_place_22	Chicago	Q1297		41.85003,-87.65005
dbl_009_place_23	Detroit	Q12439		42.331666666667,-83.0475
dbl_009_place_24	Cincinnati	Q43196		39.1,-84.5125
dbl_009_place_25	Columbus	Q239870		32.492222222222,-84.940277777778
dbl_009_place_26	Chicago	Q1297		41.85003,-87.65005
dbl_009_place_27	Columbus	Q239870		32.492222222222,-84.940277777778
dbl_009_place_28	Chicago	Q1297		41.85003,-87.65005
dbl_009_place_29	Columbus	Q16567		39.96222222222222,-83.00055555555555
dbl_009_place_30	Georgia	Q1428		33,-83.5
dbl_009_place_31	Columbus	Q239870		32.492222222222,-84.940277777778
dbl_009_place_32	South			
dbl_009_place_33	Chicago	Q1297		41.85003,-87.65005
