id	orgName	QID	dbl_id
dbl_027_org_0	Dartmouth College	Q49116	
dbl_027_org_1	Dartmouth College	Q49116	
dbl_027_org_2	United States Foreign Service	Q3480437	
dbl_027_org_3	Dartmouth College	Q49116	
dbl_027_org_4	Dartmouth College	Q49116	
dbl_027_org_5	Dartmouth College	Q49116	
dbl_027_org_6	Deerfield Academy	Q5250893	
dbl_027_org_7	Dartmouth College	Q49116	
dbl_027_org_8	Cornell University	Q49115	
dbl_027_org_9	Case Western Reserve University	Q1047060	
dbl_027_org_10	Dartmouth College	Q49116	
dbl_027_org_11	Deerfield Academy	Q5250893	
dbl_027_org_12	Dartmouth College	Q49116	
dbl_027_org_13	Deerfield Academy	Q5250893	
dbl_027_org_14	Cornell University	Q49115	
dbl_027_org_15	Cornell University	Q49115	
dbl_027_org_16	Cornell University	Q49115	
dbl_027_org_17	Dartmouth College	Q49116	
dbl_027_org_18	Deerfield Academy	Q5250893	
dbl_027_org_19	Dartmouth College	Q49116	
dbl_027_org_20	Cornell University	Q49115	
dbl_027_org_21	Dartmouth College	Q49116	
dbl_027_org_22	Dartmouth College	Q49116	
dbl_027_org_23	Dartmouth College	Q49116	
dbl_027_org_24	United States Foreign Service	Q3480437	
dbl_027_org_25	Dartmouth College	Q49116	
dbl_027_org_26	Dartmouth College	Q49116	
dbl_027_org_27	WDCR	Q7948320	
dbl_027_org_28	Palaeopitus	Q105445701	
dbl_027_org_29	Dartmouth College	Q49116	
dbl_027_org_30	Palaeopitus	Q105445701	
dbl_027_org_31	Palaeopitus	Q105445701	
dbl_027_org_32	Dartmouth Outing Club	Q5225718	
dbl_027_org_33	Casque and Gauntlet	Q5049130	
dbl_027_org_34	Dartmouth College	Q49116	
dbl_027_org_35	Delta Upsilon	Q5254771	
dbl_027_org_36	Foley House Cooperative	Q101064569	
dbl_027_org_37	Delta Upsilon	Q5254771	
dbl_027_org_38	International Convention		
dbl_027_org_39	Foley House Cooperative	Q101064569	
dbl_027_org_40	Delta Upsilon	Q5254771	
dbl_027_org_41	Dartmouth College	Q49116	
dbl_027_org_42	Dartmouth College	Q49116	
dbl_027_org_43	Vassar College	Q2093794	
dbl_027_org_44	Dartmouth College	Q49116	
dbl_027_org_45	Vassar College	Q2093794	
dbl_027_org_46	Dartmouth College	Q49116	
dbl_027_org_47	Dartmouth College	Q49116	
dbl_027_org_48	Dartmouth College	Q49116	
dbl_027_org_49	Dartmouth College	Q49116	
dbl_027_org_50	Dartmouth College Class of 1964	Q117789749	
dbl_027_org_51	German club		dbl_0043
dbl_027_org_52	German club		dbl_0043
dbl_027_org_53	Dartmouth College	Q49116	
dbl_027_org_54	Dartmouth College Class of 1968	Q114998007	
dbl_027_org_55	Dartmouth College	Q49116	
dbl_027_org_56	Dartmouth College	Q49116	
dbl_027_org_57	Student Nonviolent Coordinating Committee	Q127723	
dbl_027_org_58	Student Nonviolent Coordinating Committee	Q127723	
dbl_027_org_59	Student Nonviolent Coordinating Committee	Q127723	
dbl_027_org_60	Dartmouth College	Q49116	
dbl_027_org_61	United States Army Special Forces	Q482421	
dbl_027_org_62	United States Foreign Service	Q3480437	
dbl_027_org_63	United States Foreign Service	Q3480437	
dbl_027_org_64	United States Foreign Service	Q3480437	
dbl_027_org_65	United States Foreign Service	Q3480437	
dbl_027_org_66	United States Foreign Service	Q3480437	
dbl_027_org_67	United States Foreign Service	Q3480437	
dbl_027_org_68	United States Foreign Service	Q3480437	
dbl_027_org_69	United States Foreign Service	Q3480437	
dbl_027_org_70	Georgetown University	Q333886	
dbl_027_org_71	Georgetown University	Q333886	
dbl_027_org_72	United States Department of Agriculture	Q501542	
dbl_027_org_73	JAMS	Q17149820	
dbl_027_org_74	JAMS	Q17149820	
dbl_027_org_75	JAMS	Q17149820	
dbl_027_org_76	Injustice		dbl_0042
dbl_027_org_77	JAMS	Q17149820	
dbl_027_org_78	JAMS	Q17149820	
dbl_027_org_79	JAMS	Q17149820	
dbl_027_org_80	JAMS	Q17149820	
dbl_027_org_81	JAMS	Q17149820	
dbl_027_org_82	JAMS	Q17149820	
dbl_027_org_83	JAMS	Q17149820	
dbl_027_org_84	JAMS	Q17149820	
dbl_027_org_85	JAMS	Q17149820	
dbl_027_org_86	JAMS	Q17149820	
dbl_027_org_87	JAMS	Q17149820	
dbl_027_org_88	Dartmouth College	Q49116	
dbl_027_org_89	Dartmouth College	Q49116	
dbl_027_org_90	Casque and Gauntlet	Q5049130	
dbl_027_org_91	Dartmouth Black Lives	Q114647391	
dbl_027_org_92	Dartmouth College	Q49116	
