id	name	QID	dvp_id	start time	end time	point in time
dbl_005_event_0	Watts riots	Q377682		1965-08-11T00:00:00Z	1965-08-16T00:00:00Z	
dbl_005_event_1	Harlem Riot of 1964	Q5658577				1964-07-01T00:00:00Z
dbl_005_event_2	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_005_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_005_event_4	civil rights movement	Q48537		1954-01-01T00:00:00Z	1968-01-01T00:00:00Z	
dbl_005_event_5	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_005_event_6	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_005_event_7	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
