id	persName	QID	dbl_id
dbl_013_person_0	Kourtney Bobb	Q116579232	
dbl_013_person_1	Ricki Fairley	Q116579606	
dbl_013_person_2	Ricki Fairley	Q116579606	
dbl_013_person_3	Kourtney Bobb	Q116579232	
dbl_013_person_4	Richard Fairley	Q116580019	
dbl_013_person_5	Wilma Fairley	Q118228259)	
dbl_013_person_6	Wilma Holmes	Q118228259)	
dbl_013_person_7	William W. Cook	Q116580451	
dbl_013_person_8	Raymond Hall	Q116786597	
dbl_013_person_9	Amanda	Q118228267	
dbl_013_person_10	Amanda	Q118228267	
dbl_013_person_11	Victoria Stewart	Q118228274	
dbl_013_person_12	Jan-Michele Lemon Kearney	Q116586525	
dbl_013_person_13	Rick Jones	Q118228350	
dbl_013_person_14	Rick	Q118228350	
dbl_013_person_15	Amanda	Q118228267	
dbl_013_person_16	Haley	Q118228270	
dbl_013_person_17	Errol Hill	Q5395585	
dbl_013_person_18	Errol Hill	Q5395585	
dbl_013_person_20	Grace Hill	Q118228407	
dbl_013_person_21	Errol Hill	Q5395585	
dbl_013_person_22	Hayley	Q118228270	
dbl_013_person_23	Amanda	Q118228267	
dbl_013_person_24	Hayley	Q118228270	
dbl_013_person_25	Amanda	Q118228267	
dbl_013_person_26	Walter Calendar	Q118228429	
dbl_013_person_27	Walter Calendar	Q118228429	
dbl_013_person_28	Walter Calendar	Q118228429	
dbl_013_person_29	William W. Cook	Q116580451	
dbl_013_person_30	William W. Cook	Q116580451	
dbl_013_person_31	William W. Cook	Q116580451	
dbl_013_person_32	William W. Cook	Q116580451	
dbl_013_person_33	William W. Cook	Q116580451	
dbl_013_person_34	William W. Cook	Q116580451	
dbl_013_person_35	Kourtney Bobb	Q116579232	
dbl_013_person_36	Stefan M. Bradley	Q116588546	
dbl_013_person_37	Judith B. Redding	Q114648250	
dbl_013_person_38	Ricki Fairley	Q116579606	
dbl_013_person_39	Judith B. Redding	Q114648250	
dbl_013_person_40	Amanda	Q118228267	
dbl_013_person_41	Jeff Immelt	Q1686485	
dbl_013_person_42	Haley	Q118228270	
dbl_013_person_43	Hayley	Q118228270	
dbl_013_person_44	Haley	Q118228270	
dbl_013_person_45	Ruth O' Reagan	Q118228462	
dbl_013_person_46	Haley	Q118228270	
dbl_013_person_47	Shonda Rhimes	Q242329	
dbl_013_person_49	Amanda	Q118228267	
dbl_013_person_50	Haley	Q118228270	
dbl_013_person_51	Gene Booth	Q100755818	
dbl_013_person_52	Garvey Clarke	Q115044912	
dbl_013_person_53	Garvey Clarke	Q115044912	
dbl_013_person_54	Garvey Clarke	Q115044912	
dbl_013_person_55	Garvey Clarke	Q115044912	
dbl_013_person_56	Wendy Clarke	Q118228508	
dbl_013_person_57	Natan Santos	Q118228511	
dbl_013_person_58	Todd Cranford	Q118228513	
dbl_013_person_59	Tee Lotson	Q118228509	
dbl_013_person_60	Tee	Q118228509	
dbl_013_person_61	Tee	Q118228509	
dbl_013_person_62	Tee	Q118228509	
dbl_013_person_63	Amy Wilkson	Q118228515	
dbl_013_person_64	Mark Carlson	Q118228519	
dbl_013_person_65	Ricki Fairley	Q116579606	
dbl_013_person_66	Ricki Fairley	Q116579606	
