id	name	QID	dbl_id	start time	end time	point in time
dbl_006_event_0	Shockley incident	Q115024875				1969-10-15T00:00:00Z
dbl_006_event_2	Kent State shootings	Q482635		1970-05-04T00:00:00Z	1970-05-04T00:00:00Z	1970-05-04T00:00:00Z
dbl_006_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dbl_006_event_4	Kent State shootings	Q482635		1970-05-04T00:00:00Z	1970-05-04T00:00:00Z	1970-05-04T00:00:00Z
dbl_006_event_5	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
