id	orgName	QID	dbl_id
dbl_011_org_0	Dartmouth Black Lives	Q114647391	
dbl_011_org_1	Washington-Marion Magnet High School	Q28228634	
dbl_011_org_2	Washington-Marion Magnet High School	Q28228634	
dbl_011_org_3	Dartmouth College	Q49116	
dbl_011_org_4	Dartmouth College	Q49116	
dbl_011_org_5	Dartmouth College	Q49116	
dbl_011_org_6	Federal Reserve Cooperative Educational Program	Q116405309	
dbl_011_org_7	Yale University	Q49112	
dbl_011_org_8	Yale University	Q49112	
dbl_011_org_9	Federal Reserve Cooperative Educational Program	Q116405309	
dbl_011_org_10	Dartmouth College	Q49116	
dbl_011_org_11	Dartmouth College	Q49116	
dbl_011_org_12	Dartmouth College	Q49116	
dbl_011_org_13	Xavier University	Q1849843	
dbl_011_org_14	Dartmouth College	Q49116	
dbl_011_org_15	Federal Reserve Cooperative Educational Program	Q116405309	
dbl_011_org_16	Dartmouth College	Q49116	
dbl_011_org_17	Xavier University	Q1849843	
dbl_011_org_18	Ivy League	Q49113	
dbl_011_org_19	Xavier University	Q1849843	
dbl_011_org_20	Xavier University	Q1849843	
dbl_011_org_21	Dartmouth College	Q49116	
dbl_011_org_22	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_23	Delta Kappa Epsilon	Q975232	
dbl_011_org_24	Casque and Gauntlet	Q5049130	
dbl_011_org_25	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_26	Delta Kappa Epsilon	Q975232	
dbl_011_org_27	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_28	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_29	Dartmouth College	Q49116	
dbl_011_org_30	Dartmouth College	Q49116	
dbl_011_org_31	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_32	Students for a Democratic Society	Q2250103	
dbl_011_org_33	class of 1970		
dbl_011_org_34	Students for a Democratic Society	Q2250103	
dbl_011_org_35	General Motors	Q81965	
dbl_011_org_36	Dartmouth College	Q49116	
dbl_011_org_37	Dartmouth College	Q49116	
dbl_011_org_38	Department of African and African American Studies	Q115188245	
dbl_011_org_39	Dartmouth College	Q49116	
dbl_011_org_40	Yale University	Q49112	
dbl_011_org_41	Yale School of Medicine	Q1961140	
dbl_011_org_42	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_43	Boys and Girls High School	Q4952707	
dbl_011_org_44	Department of African and African American Studies	Q115188245	
dbl_011_org_45	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_46	Ku Klux Klan	Q47131	
dbl_011_org_47	Dartmouth College	Q49116	
dbl_011_org_48	Dartmouth College	Q49116	
dbl_011_org_49	Dartmouth College	Q49116	
dbl_011_org_50	Dartmouth College	Q49116	
dbl_011_org_51	Dartmouth College	Q49116	
dbl_011_org_52	General Motors	Q81965	
dbl_011_org_53	Dartmouth College	Q49116	
dbl_011_org_54	Dartmouth College	Q49116	
dbl_011_org_55	Dartmouth College	Q49116	
dbl_011_org_56	Dartmouth College	Q49116	
dbl_011_org_57	Smith College	Q49204	
dbl_011_org_58	Mount Holyoke	Q3321866	
dbl_011_org_59	Wellesley College	Q49205	
dbl_011_org_60	Dartmouth College	Q49116	
dbl_011_org_61	Smith College	Q49204	
dbl_011_org_62	Simmons University	Q14437811	
dbl_011_org_63	Radcliffe College	Q49124	
dbl_011_org_64	Dartmouth College	Q49116	
dbl_011_org_65	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_66	Tugaloo	Q6603941	
dbl_011_org_67	Tuskegee University	Q1682329	
dbl_011_org_68	Xavier University	Q1849843	
dbl_011_org_69	Dillard University	Q4359655	
dbl_011_org_70	Dartmouth College	Q49116	
dbl_011_org_71	Dartmouth College	Q49116	
dbl_011_org_72	Black Student Application Encouragement Committee	Q116404982	
dbl_011_org_73	Black Student Application Encouragement Committee	Q116404982	
dbl_011_org_74	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_75	Dartmouth College	Q49116	
dbl_011_org_76	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_77	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_78	Class of 1969	Q92752096	
dbl_011_org_79	P.S. 029 John M. Harrigan	Q116404642	
dbl_011_org_80	Black Panther Party	Q115247499	
dbl_011_org_81	John F. Kennedy High School	Q6232357	
dbl_011_org_82	Dartmouth College	Q49116	
dbl_011_org_83	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_84	Dartmouth College	Q49116	
dbl_011_org_85	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_86	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_87	Dartmouth College	Q49116	
dbl_011_org_88	Dartmouth College	Q49116	
dbl_011_org_89	William Jewett Tucker Foundation	Q105660312	
dbl_011_org_90	Dartmouth College	Q49116	
dbl_011_org_91	Dartmouth College	Q49116	
dbl_011_org_92	Dartmouth College	Q49116	
dbl_011_org_93	Dartmouth College	Q49116	
dbl_011_org_94	Dartmouth College	Q49116	
dbl_011_org_95	Dartmouth College	Q49116	
dbl_011_org_96	Dartmouth College	Q49116	
dbl_011_org_97	Dartmouth College	Q49116	
dbl_011_org_98	Dartmouth College	Q49116	
dbl_011_org_99	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_011_org_100	Yale University	Q49112	
dbl_011_org_101	Xavier University	Q1849843	
dbl_011_org_102	Dartmouth College	Q49116	
dbl_011_org_103	United States Congress	Q11268	
dbl_011_org_104	Tulane University Law School	Q14691855	
dbl_011_org_105	University of Virginia	Q213439	
dbl_011_org_106	Tulane University	Q1193547	
dbl_011_org_107	Tulane University	Q1193547	
dbl_011_org_108	NAACP	Q502044	
