id	name	QID	dbl_id	start time	end time	point in time
dbl_010_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dbl_010_event_1	Brown v. Board of Education	Q875738				1954-05-17T00:00:00Z
dbl_010_event_2	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
