id	orgName	QID	dbl_id
dbl_009_org_0	Dartmouth Black Lives	Q114647391	
dbl_009_org_1	Claflin School	Q5125028	
dbl_009_org_2	Claflin School	Q5125028	
dbl_009_org_3	Ku Klux Klan	Q47131	
dbl_009_org_4	Claflin School	Q5125028	
dbl_009_org_5	Claflin School	Q5125028	
dbl_009_org_6	Claflin University	Q5125034	
dbl_009_org_7	Claflin University	Q5125034	
dbl_009_org_8	Dartmouth College	Q49116	
dbl_009_org_9	Tasty Sandwich Shop	Q7687751	
dbl_009_org_10	Nation of Islam	Q220222	
dbl_009_org_11	Dartmouth College	Q49116	
dbl_009_org_12	Key Club	Q6398032	
dbl_009_org_13	Dartmouth College	Q49116	
dbl_009_org_14	Dartmouth College	Q49116	
dbl_009_org_15	National Merit Scholarship Program	Q6974311	
dbl_009_org_16	National Merit Scholarship Program	Q6974311	
dbl_009_org_17	National Merit Scholarship Program	Q6974311	
dbl_009_org_18	Macalester College	Q1141571	
dbl_009_org_19	Dartmouth College	Q49116	
dbl_009_org_20	Dartmouth College	Q49116	
dbl_009_org_21	Dartmouth College	Q49116	
dbl_009_org_22	Dartmouth College	Q49116	
dbl_009_org_23	Dartmouth College	Q49116	
dbl_009_org_24	National Merit Scholarship Program	Q6974311	
dbl_009_org_25	Dartmouth College	Q49116	
dbl_009_org_26	Dartmouth College	Q49116	
dbl_009_org_27	Dartmouth College	Q49116	
dbl_009_org_28	Dartmouth College	Q49116	
dbl_009_org_29	Dartmouth College	Q49116	
dbl_009_org_30	Dartmouth College	Q49116	
dbl_009_org_31	Dartmouth College	Q49116	
dbl_009_org_32	Dartmouth College	Q49116	
dbl_009_org_33	Dartmouth College	Q49116	
dbl_009_org_34	Dartmouth College	Q49116	
dbl_009_org_35	Dartmouth College	Q49116	
dbl_009_org_36	Dartmouth College	Q49116	
dbl_009_org_37	Dartmouth College	Q49116	
dbl_009_org_38	Dartmouth College	Q49116	
dbl_009_org_39	Dartmouth College	Q49116	
dbl_009_org_40	Dartmouth College	Q49116	
dbl_009_org_41	Dartmouth College	Q49116	
dbl_009_org_42	Dartmouth College	Q49116	
dbl_009_org_43	Dartmouth College	Q49116	
dbl_009_org_44	Dartmouth College	Q49116	
dbl_009_org_45	Harvard University	Q13371	
dbl_009_org_46	Dartmouth College	Q49116	
dbl_009_org_47	Dartmouth College	Q49116	
dbl_009_org_48	Dartmouth College	Q49116	
dbl_009_org_49	Dartmouth College	Q49116	
dbl_009_org_50	Mount Holyoke College	Q1140542	
dbl_009_org_51	Smith College	Q49204	
dbl_009_org_52	Dartmouth College	Q49116	
dbl_009_org_53	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_009_org_54	Dartmouth College	Q49116	
dbl_009_org_55	Blackout Magazine	Q116409731	
dbl_009_org_56	Uncle Tom's Cabinet	Q116854837	
dbl_009_org_57	The Temptations	Q846373	
dbl_009_org_58	Four Tops	Q653480	
dbl_009_org_59	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_009_org_60	Dartmouth College	Q49116	
dbl_009_org_61	Dartmouth College	Q49116	
dbl_009_org_62	Dartmouth College	Q49116	
dbl_009_org_63	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_64	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_65	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_66	Political Action Committee of the Afro-American Society at Dartmouth College	Q116854711	
dbl_009_org_67	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_68	Political Action Committee of the Afro-American Society at Dartmouth College	Q116854711	
dbl_009_org_69	Political Action Committee of the Afro-American Society at Dartmouth College	Q116854711	
dbl_009_org_70	Political Action Committee of the Afro-American Society at Dartmouth College	Q116854711	
dbl_009_org_71	Dartmouth College	Q49116	
dbl_009_org_72	Dartmouth College	Q49116	
dbl_009_org_73	Political Action Committee of the Afro-American Society at Dartmouth College	Q116854711	
dbl_009_org_74	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_75	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_76	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_77	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_78	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_79	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_80	Political Action Committee of the Afro-American Society at Dartmouth College	Q116854711	
dbl_009_org_81	Dartmouth College	Q49116	
dbl_009_org_82	Dartmouth College	Q49116	
dbl_009_org_83	Dartmouth College	Q49116	
dbl_009_org_84	Government of South Africa	Q5589315	
dbl_009_org_85	Government of South Africa	Q5589315	
dbl_009_org_86	Dartmouth College	Q49116	
dbl_009_org_87	Dartmouth College	Q49116	
dbl_009_org_88	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_89	William Jewett Tucker Foundation	Q105660312	
dbl_009_org_90	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_91	New Hampshire State Police	Q17109452	
dbl_009_org_92	Hanover Police Department	Q116854856	
dbl_009_org_93	New Hampshire State Police	Q17109452	
dbl_009_org_94	Dartmouth College	Q49116	
dbl_009_org_95	CBS	Q43380	
dbl_009_org_96	CBS	Q43380	
dbl_009_org_97	Dartmouth College	Q49116	
dbl_009_org_98	Los Angeles Times	Q188515	
dbl_009_org_99	The Christian Science Monitor	Q284947	
dbl_009_org_100	Dartmouth College	Q49116	
dbl_009_org_101	Dartmouth College	Q49116	
dbl_009_org_102	Rauner Special Collections Library	Q98544730	
dbl_009_org_103	Dartmouth College	Q49116	
dbl_009_org_104	Dartmouth College	Q49116	
dbl_009_org_105	Dartmouth College	Q49116	
dbl_009_org_106	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_107	Dartmouth College	Q49116	
dbl_009_org_108	Dartmouth College	Q49116	
dbl_009_org_109	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_110	Dartmouth College	Q49116	
dbl_009_org_111	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_009_org_112	Dartmouth College	Q49116	
dbl_009_org_113	Department of African and African American Studies	Q115188245	
dbl_009_org_114	Dartmouth College	Q49116	
dbl_009_org_115	Dartmouth College	Q49116	
dbl_009_org_116	Dartmouth College	Q49116	
dbl_009_org_117	Dartmouth College	Q49116	
dbl_009_org_118	Dartmouth College	Q49116	
dbl_009_org_119	Department of African and African American Studies	Q115188245	
dbl_009_org_120	Class of 1969	Q92752096	
dbl_009_org_121	Dartmouth College Class of 1968	Q114998007	
dbl_009_org_122	Dartmouth Class of 1970	Q116406284	
dbl_009_org_123	Dartmouth College Class of 1971	Q114992181	
dbl_009_org_124	Dartmouth College	Q49116	
dbl_009_org_125	Dartmouth College	Q49116	
dbl_009_org_126	Dartmouth College	Q49116	
dbl_009_org_127	Dartmouth College	Q49116	
dbl_009_org_128	Dartmouth College	Q49116	
dbl_009_org_129	Dartmouth College	Q49116	
dbl_009_org_130	Dartmouth College	Q49116	
dbl_009_org_131	Dartmouth College	Q49116	
dbl_009_org_132	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_133	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_134	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_135	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_009_org_136	Dartmouth College	Q49116	
dbl_009_org_137	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_138	Dartmouth College	Q49116	
dbl_009_org_139	Dartmouth College	Q49116	
dbl_009_org_140	Dartmouth College	Q49116	
dbl_009_org_141	Dartmouth College	Q49116	
dbl_009_org_142	Dartmouth College	Q49116	
dbl_009_org_143	Benjamin F. Barge Prize for Oratory at Dartmouth College	Q116860976	
dbl_009_org_144	Dartmouth College	Q49116	
dbl_009_org_145	Dartmouth College	Q49116	
dbl_009_org_146	Dartmouth College	Q49116	
dbl_009_org_147	federal government of the United States	Q48525	
dbl_009_org_148	Dartmouth College	Q49116	
dbl_009_org_149	Dartmouth College	Q49116	
dbl_009_org_150	Dartmouth College	Q49116	
dbl_009_org_151	Dartmouth College	Q49116	
dbl_009_org_152	Dartmouth College	Q49116	
dbl_009_org_153	Dartmouth College	Q49116	
dbl_009_org_154	Dartmouth College	Q49116	
dbl_009_org_155	Dartmouth College	Q49116	
dbl_009_org_156	Dartmouth College	Q49116	
dbl_009_org_157	Tuck School of Business	Q1263832	
dbl_009_org_158	Dartmouth College	Q49116	
dbl_009_org_159	Dartmouth College	Q49116	
dbl_009_org_160	Dartmouth College	Q49116	
dbl_009_org_161	Dartmouth College	Q49116	
dbl_009_org_162	Dartmouth College	Q49116	
dbl_009_org_163	Dartmouth College	Q49116	
dbl_009_org_164	Dartmouth College	Q49116	
dbl_009_org_165	Dartmouth College	Q49116	
dbl_009_org_166	Dartmouth College	Q49116	
dbl_009_org_167	Concerned Black Alumni of Dartmouth College	Q116860961	
dbl_009_org_168	Concerned Black Alumni of Dartmouth College	Q116860961	
dbl_009_org_169	Concerned Black Alumni of Dartmouth College	Q116860961	
dbl_009_org_170	Concerned Black Alumni of Dartmouth College	Q116860961	
dbl_009_org_171	Dartmouth College	Q49116	
dbl_009_org_172	Dartmouth College	Q49116	
dbl_009_org_173	El-Hajj Malik El-Shabazz Center	Q104931609	
dbl_009_org_174	Dartmouth College	Q49116	
dbl_009_org_175	Afro-American Society at Dartmouth College	Q114879775	
dbl_009_org_176	Dartmouth College Class of 1973	Q116860983	
dbl_009_org_177	Dartmouth College Class of 1984	Q116860987	
dbl_009_org_178	Concerned Black Alumni of Dartmouth College	Q116860961	
dbl_009_org_179	Concerned Black Alumni of Dartmouth College	Q116860961	
dbl_009_org_180	HHP		
dbl_009_org_181	Hanover Partners		
dbl_009_org_182	Dartmouth College	Q49116	
dbl_009_org_183	Dartmouth College	Q49116	
dbl_009_org_184	Dartmouth College	Q49116	
dbl_009_org_185	Dartmouth College	Q49116	
dbl_009_org_186	Dartmouth College	Q49116	
dbl_009_org_187	Dartmouth College	Q49116	
dbl_009_org_188	Dartmouth College	Q49116	
dbl_009_org_189	Dartmouth College	Q49116	
dbl_009_org_190	Dartmouth College	Q49116	
dbl_009_org_191	Dartmouth College	Q49116	
dbl_009_org_192	Dartmouth College	Q49116	
dbl_009_org_193	Dartmouth College	Q49116	
dbl_009_org_194	Dartmouth College	Q49116	
dbl_009_org_195	Yale Law School	Q1143289	
dbl_009_org_196	Dartmouth College	Q49116	
dbl_009_org_197	Dartmouth College	Q49116	
dbl_009_org_198	Yale Law School	Q1143289	
dbl_009_org_199	Yale Law School	Q1143289	
dbl_009_org_200	Yale Law School	Q1143289	
dbl_009_org_201	Dartmouth College	Q49116	
dbl_009_org_202	Yale Law School	Q1143289	
dbl_009_org_203	Yale University	Q49112	
dbl_009_org_204	Yale University	Q49112	
dbl_009_org_205	Dartmouth College	Q49116	
dbl_009_org_206	Former Liberation Movements of Southern Africa	Q16200407	
dbl_009_org_207	African National Congress	Q83162	
dbl_009_org_208	African National Congress	Q83162	
dbl_009_org_209	African National Congress Exile Leadership		
dbl_009_org_210	United States Consulate in Cape Town	Q116861244	
dbl_009_org_211	African National Congress	Q83162	
dbl_009_org_212	Chevron Corporation	Q319642	
dbl_009_org_213	Dartmouth College	Q49116	
dbl_009_org_214	Dartmouth College	Q49116	
dbl_009_org_215	Yale University	Q49112	
dbl_009_org_216	Exile African National Congress Leadership		
dbl_009_org_217	African National Congress	Q83162	
dbl_009_org_218	Exile Leadership		
dbl_009_org_219	Vaal University of Technology	Q2399345	
dbl_009_org_220	African National Congress	Q83162	
dbl_009_org_221	Mount Holyoke College	Q1140542	
dbl_009_org_222	Mount Holyoke	Q3321866	
dbl_009_org_223	Dartmouth College	Q49116	
dbl_009_org_224	Dartmouth College	Q49116	
dbl_009_org_225	Dartmouth College	Q49116	
dbl_009_org_226	Dartmouth College	Q49116	
dbl_009_org_227	Mount Holyoke	Q3321866	
dbl_009_org_228	Dartmouth College	Q49116	
dbl_009_org_229	Dartmouth College	Q49116	
dbl_009_org_230	Dartmouth College	Q49116	
