id	placeName	QID	dbl_id	coordinate location
dbl_016_place_101	"Washington, D.C."	Q61		"38.895,-77.036666666667"
dbl_016_place_102	"Washington, D.C."	Q61		"38.895,-77.036666666667"
dbl_016_place_103	Watergate complex	Q1419538		"38.89888888888889,-77.05416666666666"
dbl_016_place_104	Watergate complex	Q1419538		"38.89888888888889,-77.05416666666666"
dbl_016_place_105	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_106	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_107	Joliet Correctional Center	Q1702652		"41.546944444444,-88.074166666667"
dbl_016_place_108	Joliet Correctional Center	Q1702652		"41.546944444444,-88.074166666667"
dbl_016_place_109	Norwich	Q1510465		"43.730277777778,-72.303055555556"
dbl_016_place_110	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_111	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_112	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_113	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_114	Gary	Q184116		"41.580833333333,-87.345555555556"
dbl_016_place_115	Indiana	Q1415		"39.933333333333,-86.216666666667"
dbl_016_place_116	Gary	Q184116		"41.580833333333,-87.345555555556"
dbl_016_place_117	"Washington, D.C."	Q61		"38.895,-77.036666666667"
dbl_016_place_118	Gary	Q184116		"41.580833333333,-87.345555555556"
dbl_016_place_119	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_120	Gary	Q184116		"41.580833333333,-87.345555555556"
dbl_016_place_121	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_122	New Orleans	Q34404		"29.95465,-90.07507"
dbl_016_place_123	New Orleans	Q34404		"29.95465,-90.07507"
dbl_016_place_124	Burlington	Q31058		"44.4876246,-73.2314828"
dbl_016_place_125	Cleveland	Q37320		"41.482222222222,-81.669722222222"
dbl_016_place_126	New Orleans	Q34404		"29.95465,-90.07507"
dbl_016_place_127	Cleveland	Q37320		"41.482222222222,-81.669722222222"
dbl_016_place_128	Savannah	Q83813		"32.050833333333,-81.103888888889"
dbl_016_place_129	New Orleans	Q34404		"29.95465,-90.07507"
dbl_016_place_130	New Orleans	Q34404		"29.95465,-90.07507"
dbl_016_place_131	Houston	Q16555		"29.762777777778,-95.383055555556"
dbl_016_place_132	Chicago	Q1297		"41.85003,-87.65005"
