id	placeName	QID	dbl_id	coordinate location
dbl_026_place_0	Berry Library	Q115184487		"43.70564,-72.28871"
dbl_026_place_1	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_026_place_2	"Washington, D.C."	Q61		"38.895,-77.036666666667"
dbl_026_place_3	Atlanta	Q23556		"33.756944444444,-84.390277777778"
dbl_026_place_4	Chattanooga	Q186702		"35.045555555556,-85.267222222222"
dbl_026_place_5	Georgia	Q1428		"33,-83.5"
dbl_026_place_6	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_7	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_8	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_9	Chattanooga	Q186702		"35.045555555556,-85.267222222222"
dbl_026_place_10	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_11	Georgia	Q1428		"33,-83.5"
dbl_026_place_12	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_13	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_14	Commerce	Q2689380		"34.2064,-83.4611"
dbl_026_place_15	Chattanooga	Q186702		"35.045555555556,-85.267222222222"
dbl_026_place_16	Chattanooga	Q186702		"35.045555555556,-85.267222222222"
dbl_026_place_17	Atlanta	Q23556		"33.756944444444,-84.390277777778"
dbl_026_place_18	Philadelphia	Q1345		"39.952777777778,-75.163611111111"
dbl_026_place_19	Connecticut	Q779		"41.6,-72.7"
dbl_026_place_20	Tennessee State University	Q1782948		"36.165874,-86.830337"
dbl_026_place_21	"Washington, D.C."	Q61		"38.895,-77.036666666667"
dbl_026_place_22	Atlanta	Q23556		"33.756944444444,-84.390277777778"
dbl_026_place_23	Atlanta	Q23556		"33.756944444444,-84.390277777778"
dbl_026_place_24	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_026_place_25	New Hampshire	Q759		"44,-71.5"
dbl_026_place_26	Atlanta	Q23556		"33.756944444444,-84.390277777778"
dbl_026_place_27	Chattanooga	Q186702		"35.045555555556,-85.267222222222"
dbl_026_place_28	Atlanta	Q23556		"33.756944444444,-84.390277777778"
dbl_026_place_29	North Carolina	Q1454		"35.5,-80"
dbl_026_place_30	Georgia	Q1428		"33,-83.5"
dbl_026_place_31	North Carolina	Q1454		"35.5,-80"
dbl_026_place_32	Commerce	Q2689380		"34.2064,-83.4611"
